우편번호|시도|시군구|읍면|사서함명|시작사서함주번호|시작사서함부번호|끝사서함주번호|끝사서함부번호|구우편번호
59741|전라남도|여수시||여수동문동우체국사서함|76||78||
24651|강원도|인제군|남면|사서함|81|21|||
24652|강원도|인제군|남면|사서함|81|22|||
24651|강원도|인제군|남면|사서함|81|23|||
24062|강원도|철원군|서면|사서함|107|22|||
13101|경기도|성남시 수정구||사서함|337|1|337|30|
13354|경기도|성남시 수정구||성남우체국사서함|1||100||
16626|경기도|수원시 권선구||서수원우체국사서함|1||303||
16326|경기도|수원시 장안구||수원우체국사서함|1||202||
16487|경기도|수원시 팔달구||동수원우체국사서함|1||99||
15079|경기도|시흥시||시흥우체국사서함|1||50||
15357|경기도|안산시 단원구||안산우체국사서함|1||150||
17578|경기도|안성시||안성우체국사서함|1||25||
14047|경기도|안양시 동안구||안양우체국사서함|1||225||
14067|경기도|안양시 동안구||안양우편집중국사서함|1||15||
11506|경기도|양주시|광적면|사서함|94|13|||
11506|경기도|양주시|광적면|사서함|94|16|||
11506|경기도|양주시|광적면|사서함|94|24|||
11506|경기도|양주시|광적면|사서함|94|27|||
11506|경기도|양주시|광적면|사서함|94|34|94|35|
11335|경기도|양주시|남면|사서함|92|2|92|6|
11506|경기도|양주시|남면|사서함|94|25|||
11400|경기도|양주시|남면|사서함|95|1|95|34|
11506|경기도|양주시|백석읍|사서함|94|1|94|3|
11506|경기도|양주시|백석읍|사서함|94|14|||
11506|경기도|양주시|백석읍|사서함|94|5|94|6|
24627|강원도|인제군|인제읍|사서함|100|22|||
11506|경기도|양주시|백석읍|사서함|94|8|||
11158|경기도|양주시|은현면|사서함|118|43|||
11335|경기도|양주시|은현면|사서함|92|26|92|37|
24614|강원도|인제군|북면|사서함|100|23|||
24620|강원도|인제군|북면|사서함|100|30|||
24605|강원도|인제군|북면|사서함|100|33|||
24604|강원도|인제군|서화면|사서함|100|34|||
11506|경기도|양주시|은현면|사서함|94|12|||
10538|경기도|양주시|장흥면|사서함|86|16|||
10538|경기도|양주시|장흥면|사서함|86|32|||
24609|강원도|인제군|북면|사서함|100|35|||
10538|경기도|양주시|장흥면|사서함|86|34|||
24614|강원도|인제군|북면|사서함|100|212|||
24665|강원도|인제군|상남면|사서함|116|6|||
